From,To,Node,Site ID,Site Name,Description,Av Speed,85th %ile,24 Hour,Total
,,,,,,(km/h),(km/h),,
2023-03-01,2023-03-31,SAUDI,20400403.0,20400403.0,Dammam to Riyadh Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,20406070.0,20406070.0,Baquiq -Riyadh -Salasil Road,73,87,157,4852
2023-03-01,2023-03-31,SAUDI,20406150.0,20406150.0,Dharan to Abqiq Road,108.8,127,16099,499069
2023-03-01,2023-03-31,SAUDI,20406151.0,20406151.0,Abqiq to Dharan Road,102.3,121,21365,662307
2023-03-01,2023-03-31,SAUDI,20463740.0,20463740.0,Dammam to Jubail Road,47.3,86,1127,34933
2023-03-01,2023-03-31,SAUDI,20500400.0,20500400.0,Dammam to Riyadh Road, -, -, -, -
2023-03-01,2023-03-31,SAUDI,20500401.0,20500401.0,Riyadh to Dammam Road,13.5,11,148,4593
2023-03-01,2023-03-31,SAUDI,20500750.0,20500750.0,Nairiyah to Hufof Road,80.9,105,186,5769
2023-03-01,2023-03-31,SAUDI,20505220.0,20505220.0,Hofuf to Riyadh Road,98.6,122,6443,199748
2023-03-01,2023-03-31,SAUDI,20505221.0,20505221.0,Riyadh to Hofuf Road,97.2,124,6317,195838
2023-03-01,2023-03-31,SAUDI,20600100.0,20600100.0,Batha to Al Kharj Road,92.2,116,4861,150677
2023-03-01,2023-03-31,SAUDI,20600750.0,20600750.0,Harad to Hofuf Road,100.8,125,5096,116660
2023-03-01,2023-03-31,SAUDI,20600751.0,20600751.0,Hufof to Harad Road,97.8,120,6212,192577
2023-03-01,2023-03-31,SAUDI,20700100.0,20700100.0,Batha to Harad Road,93.8,123,1392,43151
2023-03-01,2023-03-31,SAUDI,20700101.0,20700101.0,Batha to Al Kharj Road, -, -, -, -
2023-03-01,2023-03-31,SAUDI,20700102.0,20700102.0,Harad to Batha,84.7,99,947,29358
2023-03-01,2023-03-31,SAUDI,20700950.0,20700950.0,UEA - Saudi Border (Batha - Salwa Road) - to be removed,44.6,58,3530,109437
2023-03-01,2023-03-31,SAUDI,20700951.0,20700951.0,Saudi - UAE Border Check Point - to be removed, -, -, -, -
2023-03-01,2023-03-31,SAUDI,20706150.0,20706150.0,Hofuf to Salwa Road,109,130,4375,135640
2023-03-01,2023-03-31,SAUDI,20706151.0,20706151.0,Salwa to Hufof,105.6,125,4970,154081
2023-03-01,2023-03-31,SAUDI,20800850.0,20800850.0,Abu Hadriya to Hafar Al Batin Road,87.3,113,2433,75437
